GSM	sample_id	group	assay	mark	track_type	title	status	bigwig_file	bigwig_size_bytes
GSM4604206	629	AML	CUT&Tag	CTCF	CTCF	629_CUT&TAG_CTCF	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/CTCF/GSM4604206_629_CTCF_DNMT3A.bw	182349
GSM4604208	773	AML	CUT&Tag	CTCF	CTCF	773_CUT&TAG_CTCF	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/CTCF/GSM4604208_773_CTCF_DNMT3A.bw	104454
GSM4604204	103	PBMC	CUT&Tag	CTCF	CTCF	103_CUT&TAG_CTCF	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/CTCF/GSM4604204_103_CTCF_DNMT3A.bw	93666
GSM4604185	018	AML	CUT&Tag	H3K27ac	H3K27ac	018_CUT&TAG_H3K27ac	already_exists	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604185_018_H3K27ac_DNMT3A.bw	108858
GSM4604191	027	AML	CUT&Tag	H3K27ac	H3K27ac	027_CUT&TAG_H3K27ac	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604191_027_H3K27ac_DNMT3A.bw	152519
GSM4604189	1360	AML	CUT&Tag	H3K27ac	H3K27ac	1360_CUT&TAG_H3K27ac	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604189_1360_H3K27ac_DNMT3A.bw	236450
GSM4604190	168	AML	CUT&Tag	H3K27ac	H3K27ac	168_CUT&TAG_H3K27ac	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604190_168_H3K27ac_DNMT3A.bw	143957
GSM4604187	1916	AML	CUT&Tag	H3K27ac	H3K27ac	1916_CUT&TAG_H3K27ac	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604187_1916_H3K27ac_DNMT3A.bw	191122
GSM4604183	270	AML	CUT&Tag	H3K27ac	H3K27ac	270_CUT&TAG_H3K27ac	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604183_270_H3K27ac_DNMT3A.bw	90398
GSM4604188	472	AML	CUT&Tag	H3K27ac	H3K27ac	472_CUT&TAG_H3K27ac	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604188_472_H3K27ac_DNMT3A.bw	127236
GSM4604186	546	AML	CUT&Tag	H3K27ac	H3K27ac	546_CUT&TAG_H3K27ac	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604186_546_H3K27ac_DNMT3A.bw	150499
GSM4604182	629	AML	CUT&Tag	H3K27ac	H3K27ac	629_CUT&TAG_H3K27ac	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604182_629_H3K27ac_DNMT3A.bw	280363
GSM4604184	773	AML	CUT&Tag	H3K27ac	H3K27ac	773_CUT&TAG_H3K27ac	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604184_773_H3K27ac_DNMT3A.bw	159878
GSM4604180	103	PBMC	CUT&Tag	H3K27ac	H3K27ac	103_CUT&TAG_H3K27ac	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604180_103_H3K27ac_DNMT3A.bw	110460
GSM4604181	673	PBMC	CUT&Tag	H3K27ac	H3K27ac	673_CUT&TAG_H3K27ac	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604181_673_H3K27ac_DNMT3A.bw	58697
GSM4604197	018	AML	CUT&Tag	H3K27me3	H3K27me3	018_CUT&TAG_H3K27me3	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27me3/GSM4604197_018_H3K27me3_DNMT3A.bw	88604
GSM4604203	027	AML	CUT&Tag	H3K27me3	H3K27me3	027_CUT&TAG_H3K27me3	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27me3/GSM4604203_027_H3K27me3_DNMT3A.bw	95876
GSM4604201	1360	AML	CUT&Tag	H3K27me3	H3K27me3	1360_CUT&TAG_H3K27me3	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27me3/GSM4604201_1360_H3K27me3_DNMT3A.bw	90854
GSM4604202	168	AML	CUT&Tag	H3K27me3	H3K27me3	168_CUT&TAG_H3K27me3	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27me3/GSM4604202_168_H3K27me3_DNMT3A.bw	115320
GSM4604199	1916	AML	CUT&Tag	H3K27me3	H3K27me3	1916_CUT&TAG_H3K27me3	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27me3/GSM4604199_1916_H3K27me3_DNMT3A.bw	79998
GSM4604195	270	AML	CUT&Tag	H3K27me3	H3K27me3	270_CUT&TAG_H3K27me3	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27me3/GSM4604195_270_H3K27me3_DNMT3A.bw	114391
GSM4604200	472	AML	CUT&Tag	H3K27me3	H3K27me3	472_CUT&TAG_H3K27me3	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27me3/GSM4604200_472_H3K27me3_DNMT3A.bw	123775
GSM4604198	546	AML	CUT&Tag	H3K27me3	H3K27me3	546_CUT&TAG_H3K27me3	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27me3/GSM4604198_546_H3K27me3_DNMT3A.bw	118289
GSM4604194	629	AML	CUT&Tag	H3K27me3	H3K27me3	629_CUT&TAG_H3K27me3	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27me3/GSM4604194_629_H3K27me3_DNMT3A.bw	183770
GSM4604196	773	AML	CUT&Tag	H3K27me3	H3K27me3	773_CUT&TAG_H3K27me3	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27me3/GSM4604196_773_H3K27me3_DNMT3A.bw	80380
GSM4604192	103	PBMC	CUT&Tag	H3K27me3	H3K27me3	103_CUT&TAG_H3K27me3	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27me3/GSM4604192_103_H3K27me3_DNMT3A.bw	109625
GSM4604193	673	PBMC	CUT&Tag	H3K27me3	H3K27me3	673_CUT&TAG_H3K27me3	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27me3/GSM4604193_673_H3K27me3_DNMT3A.bw	53775
GSM4603053	018	AML	WGBS	NA	WGBS	018_WGBS	already_exists	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM4603053_018_WGBS_DNMT3A.bw	150036
GSM4603058	027	AML	WGBS	NA	WGBS	027_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM4603058_027_WGBS_DNMT3A.bw	151235
GSM5688604	1071	AML	WGBS	NA	WGBS	1071_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM5688604_1071_WGBS_DNMT3A.bw	175593
GSM5688605	1324	AML	WGBS	NA	WGBS	1324_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM5688605_1324_WGBS_DNMT3A.bw	174837
GSM4603057	168	AML	WGBS	NA	WGBS	168_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM4603057_168_WGBS_DNMT3A.bw	151746
GSM4603054	260	AML	WGBS	NA	WGBS	260_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM4603054_260_WGBS_DNMT3A.bw	151053
GSM4603050	270	AML	WGBS	NA	WGBS	270_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM4603050_270_WGBS_DNMT3A.bw	159480
