group	sample_id	n_observed_bins
AML	018	274
AML	027	276
AML	1071	276
AML	1324	276
AML	168	269
AML	260	272
AML	270	271
AML	424	277
AML	472	270
AML	496	276
AML	504	275
AML	546	275
AML	566	273
AML	629	277
AML	773	275
AML	798	277
AML	838	277
AML	933	277
PBMC	103	277
PBMC	673	275
