GSM	sample_id	group	assay	mark	track_type	status	n_intervals	file_size_bytes	elapsed_seconds	output_file	error_message	fname	url	GSE	title
GSM4604260	773	AML	ATAC-seq	NA	ATAC-seq	success	7731	290444	1.4584550857543945	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604260_773_ATAC-seq_DNMT3A.bedGraph	NA	GSM4604260_773_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604260/suppl//GSM4604260_773_ATAC-seq.10bp.RPGC.bigwig	GSE152134	773_ATAC-seq
GSM4604270	990	AML	ATAC-seq	NA	ATAC-seq	success	12319	470727	1.3969790935516357	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604270_990_ATAC-seq_DNMT3A.bedGraph	NA	GSM4604270_990_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604270/suppl//GSM4604270_990_ATAC-seq.10bp.RPGC.bigwig	GSE152134	990_ATAC-seq
GSM4604256	103	PBMC	ATAC-seq	NA	ATAC-seq	success	16594	648229	1.2669391632080078	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604256_103_ATAC-seq_DNMT3A.bedGraph	NA	GSM4604256_103_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604256/suppl//GSM4604256_103_ATAC-seq.10bp.RPGC.bigwig	GSE152134	103_ATAC-seq
GSM4604255	576	PBMC	ATAC-seq	NA	ATAC-seq	already_exists	NA	270640	NA	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604255_576_ATAC-seq_DNMT3A.bedGraph	NA	GSM4604255_576_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604255/suppl//GSM4604255_576_ATAC-seq.10bp.RPGC.bigwig	GSE152134	576_ATAC-seq
GSM4604257	673	PBMC	ATAC-seq	NA	ATAC-seq	success	23434	949175	1.3958508968353271	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/ATAC-seq/GSM4604257_673_ATAC-seq_DNMT3A.bedGraph	NA	GSM4604257_673_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604257/suppl//GSM4604257_673_ATAC-seq.10bp.RPGC.bigwig	GSE152134	673_ATAC-seq
GSM4604209	018	AML	CUT&Tag	CTCF	CTCF	success	7032	295580	1.4414122104644775	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/CTCF/GSM4604209_018_CTCF_DNMT3A.bedGraph	NA	GSM4604209_018_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604209/suppl//GSM4604209_018_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	018_CUT&TAG_CTCF
GSM4604213	027	AML	CUT&Tag	CTCF	CTCF	success	8284	351788	1.4856700897216797	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/CTCF/GSM4604213_027_CTCF_DNMT3A.bedGraph	NA	GSM4604213_027_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604213/suppl//GSM4604213_027_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	027_CUT&TAG_CTCF
GSM4604212	168	AML	CUT&Tag	CTCF	CTCF	success	10297	434020	1.3856101036071777	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/CTCF/GSM4604212_168_CTCF_DNMT3A.bedGraph	NA	GSM4604212_168_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604212/suppl//GSM4604212_168_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	168_CUT&TAG_CTCF
GSM4604207	270	AML	CUT&Tag	CTCF	CTCF	success	7776	327292	1.3047430515289307	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/CTCF/GSM4604207_270_CTCF_DNMT3A.bedGraph	NA	GSM4604207_270_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604207/suppl//GSM4604207_270_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	270_CUT&TAG_CTCF
GSM4604211	472	AML	CUT&Tag	CTCF	CTCF	success	11525	486035	1.3892080783843994	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/CTCF/GSM4604211_472_CTCF_DNMT3A.bedGraph	NA	GSM4604211_472_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604211/suppl//GSM4604211_472_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	472_CUT&TAG_CTCF
