group	sample_id	n_bins	n_zero	pct_zero	min_signal	median_signal	mean_signal	p75_signal	p90_signal	p95_signal	p99_signal	max_signal
AML	018	111471	99561	89.3156067497376	0	0	0.3567567579641721	0	2.1933701038360596	2.1933701038360596	4.386750221252441	48.25419998168945
AML	027	111471	76468	68.59900781369144	0	0	0.7681083543275968	1.6515300273895264	3.3030500411987305	3.3030500411987305	6.606110095977783	18.166799545288086
AML	1360	111471	52526	47.12077580716061	0	1.127020001411438	1.1549619506032982	2.2540299892425537	3.3810501098632813	4.508059978485107	6.7621002197265625	48.461700439453125
AML	168	111471	52518	47.113599052668405	0	0.6958370208740234	0.8343657125526973	1.3916699886322021	2.087510108947754	2.7833499908447266	4.8708600997924805	13.91670036315918
AML	1916	111471	54374	48.77860609485875	0	1.0813499689102173	0.9398163296862786	1.0813499689102173	2.1626999378204346	3.2440500259399414	5.406750202178955	17.301599502563477
AML	260	111471	96192	86.29329601420997	0	0	0.3411506081214339	0	1.917140007019043	1.917140007019043	3.834280014038086	24.922800064086914
AML	270	111471	76010	68.18813861901302	0	0	0.9644199948473788	2.0740599632263184	2.0740599632263184	4.148129940032959	6.222189903259277	53.92570114135742
AML	472	111471	65687	58.92743404114075	0	0	1.1830885709104717	1.7697499990463257	3.5394999980926514	5.30925989151001	7.079010009765625	17.697500228881836
AML	546	111471	63589	57.04533017556136	0	0	1.1471308517489849	1.2998000383377075	2.599600076675415	3.8994100093841553	10.39840030670166	85.78690338134766
AML	566	111471	42960	38.539171623112736	0	1.1547000408172607	1.7399437098866675	2.3094100952148438	4.6188201904296875	5.773519992828369	9.237640380859375	26.55820083618164
AML	629	111471	67846	60.86426065972316	0	0	0.9771711500450875	1.5172899961471558	3.0345799922943115	4.551869869232178	6.069159984588623	60.69160079956055
AML	773	111471	79933	71.70743960312548	0	0	1.1788368978097494	2.4133799076080322	2.4133799076080322	4.8267598152160645	12.066900253295898	101.36199951171875
AML	990	111471	65152	58.44748858447488	0	0	1.0554639859086636	1.2581900358200073	2.516390085220337	3.7745800018310547	8.80735969543457	110.72100067138672
PBMC	103	111471	49171	44.11102439199433	0	0.673566997051239	1.0188665646980175	1.3471299409866333	2.694269895553589	3.3678300380706787	6.062099933624268	68.0302963256836
PBMC	576	111471	81600	73.2028958204376	0	0	0.8835079208583321	1.756160020828247	1.756160020828247	3.512320041656494	8.780810356140137	122.93099975585938
PBMC	673	111471	50551	45.34901454189879	0	0.5216230154037476	1.3380196626581349	2.0864899158477783	4.172989845275879	5.2162299156188965	7.824349880218506	20.343299865722656
