group	n_samples	n_bins	passes_threshold
AML	12	1	FALSE
AML	14	2	FALSE
AML	15	2	FALSE
AML	16	7	TRUE
AML	17	9	TRUE
AML	18	256	TRUE
PBMC	1	2	FALSE
PBMC	2	275	TRUE
