GSM	fname	url	GSE	sample_id	group	assay	mark	title
GSM4604183	GSM4604183_270_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604183/suppl//GSM4604183_270_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	270	AML	CUT&Tag	H3K27ac	270_CUT&TAG_H3K27ac
GSM4604184	GSM4604184_773_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604184/suppl//GSM4604184_773_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	773	AML	CUT&Tag	H3K27ac	773_CUT&TAG_H3K27ac
GSM4604185	GSM4604185_018_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604185/suppl//GSM4604185_018_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	018	AML	CUT&Tag	H3K27ac	018_CUT&TAG_H3K27ac
GSM4604186	GSM4604186_546_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604186/suppl//GSM4604186_546_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	546	AML	CUT&Tag	H3K27ac	546_CUT&TAG_H3K27ac
GSM4604187	GSM4604187_1916_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604187/suppl//GSM4604187_1916_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	1916	AML	CUT&Tag	H3K27ac	1916_CUT&TAG_H3K27ac
GSM4604188	GSM4604188_472_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604188/suppl//GSM4604188_472_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	472	AML	CUT&Tag	H3K27ac	472_CUT&TAG_H3K27ac
GSM4604189	GSM4604189_1360_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604189/suppl//GSM4604189_1360_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	1360	AML	CUT&Tag	H3K27ac	1360_CUT&TAG_H3K27ac
GSM4604190	GSM4604190_168_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604190/suppl//GSM4604190_168_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	168	AML	CUT&Tag	H3K27ac	168_CUT&TAG_H3K27ac
GSM4604191	GSM4604191_027_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604191/suppl//GSM4604191_027_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	027	AML	CUT&Tag	H3K27ac	027_CUT&TAG_H3K27ac
GSM4604192	GSM4604192_103_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604192/suppl//GSM4604192_103_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	103	PBMC	CUT&Tag	H3K27me3	103_CUT&TAG_H3K27me3
GSM4604193	GSM4604193_673_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604193/suppl//GSM4604193_673_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	673	PBMC	CUT&Tag	H3K27me3	673_CUT&TAG_H3K27me3
GSM4604194	GSM4604194_629_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604194/suppl//GSM4604194_629_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	629	AML	CUT&Tag	H3K27me3	629_CUT&TAG_H3K27me3
GSM4604195	GSM4604195_270_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604195/suppl//GSM4604195_270_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	270	AML	CUT&Tag	H3K27me3	270_CUT&TAG_H3K27me3
GSM4604196	GSM4604196_773_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604196/suppl//GSM4604196_773_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	773	AML	CUT&Tag	H3K27me3	773_CUT&TAG_H3K27me3
GSM4604197	GSM4604197_018_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604197/suppl//GSM4604197_018_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	018	AML	CUT&Tag	H3K27me3	018_CUT&TAG_H3K27me3
GSM4604198	GSM4604198_546_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604198/suppl//GSM4604198_546_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	546	AML	CUT&Tag	H3K27me3	546_CUT&TAG_H3K27me3
GSM4604199	GSM4604199_1916_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604199/suppl//GSM4604199_1916_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	1916	AML	CUT&Tag	H3K27me3	1916_CUT&TAG_H3K27me3
GSM4604200	GSM4604200_472_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604200/suppl//GSM4604200_472_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	472	AML	CUT&Tag	H3K27me3	472_CUT&TAG_H3K27me3
GSM4604201	GSM4604201_1360_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604201/suppl//GSM4604201_1360_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	1360	AML	CUT&Tag	H3K27me3	1360_CUT&TAG_H3K27me3
GSM4604202	GSM4604202_168_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604202/suppl//GSM4604202_168_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	168	AML	CUT&Tag	H3K27me3	168_CUT&TAG_H3K27me3
GSM4604203	GSM4604203_027_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604203/suppl//GSM4604203_027_CUT_TAG_H3K27me3.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	027	AML	CUT&Tag	H3K27me3	027_CUT&TAG_H3K27me3
GSM4604204	GSM4604204_103_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604204/suppl//GSM4604204_103_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	103	PBMC	CUT&Tag	CTCF	103_CUT&TAG_CTCF
GSM4604206	GSM4604206_629_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604206/suppl//GSM4604206_629_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	629	AML	CUT&Tag	CTCF	629_CUT&TAG_CTCF
GSM4604207	GSM4604207_270_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604207/suppl//GSM4604207_270_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	270	AML	CUT&Tag	CTCF	270_CUT&TAG_CTCF
GSM4604208	GSM4604208_773_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604208/suppl//GSM4604208_773_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	773	AML	CUT&Tag	CTCF	773_CUT&TAG_CTCF
GSM4604209	GSM4604209_018_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604209/suppl//GSM4604209_018_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	018	AML	CUT&Tag	CTCF	018_CUT&TAG_CTCF
GSM4604210	GSM4604210_546_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604210/suppl//GSM4604210_546_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	546	AML	CUT&Tag	CTCF	546_CUT&TAG_CTCF
GSM4604211	GSM4604211_472_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604211/suppl//GSM4604211_472_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	472	AML	CUT&Tag	CTCF	472_CUT&TAG_CTCF
GSM4604212	GSM4604212_168_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604212/suppl//GSM4604212_168_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	168	AML	CUT&Tag	CTCF	168_CUT&TAG_CTCF
GSM4604213	GSM4604213_027_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604213/suppl//GSM4604213_027_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	027	AML	CUT&Tag	CTCF	027_CUT&TAG_CTCF
GSM4604255	GSM4604255_576_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604255/suppl//GSM4604255_576_ATAC-seq.10bp.RPGC.bigwig	GSE152134	576	PBMC	ATAC-seq	NA	576_ATAC-seq
GSM4604256	GSM4604256_103_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604256/suppl//GSM4604256_103_ATAC-seq.10bp.RPGC.bigwig	GSE152134	103	PBMC	ATAC-seq	NA	103_ATAC-seq
GSM4604257	GSM4604257_673_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604257/suppl//GSM4604257_673_ATAC-seq.10bp.RPGC.bigwig	GSE152134	673	PBMC	ATAC-seq	NA	673_ATAC-seq
GSM4604258	GSM4604258_629_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604258/suppl//GSM4604258_629_ATAC-seq.10bp.RPGC.bigwig	GSE152134	629	AML	ATAC-seq	NA	629_ATAC-seq
GSM4604259	GSM4604259_270_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604259/suppl//GSM4604259_270_ATAC-seq.10bp.RPGC.bigwig	GSE152134	270	AML	ATAC-seq	NA	270_ATAC-seq
GSM4604260	GSM4604260_773_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604260/suppl//GSM4604260_773_ATAC-seq.10bp.RPGC.bigwig	GSE152134	773	AML	ATAC-seq	NA	773_ATAC-seq
GSM4604261	GSM4604261_566_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604261/suppl//GSM4604261_566_ATAC-seq.10bp.RPGC.bigwig	GSE152134	566	AML	ATAC-seq	NA	566_ATAC-seq
GSM4604262	GSM4604262_018_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604262/suppl//GSM4604262_018_ATAC-seq.10bp.RPGC.bigwig	GSE152134	018	AML	ATAC-seq	NA	018_ATAC-seq
GSM4604263	GSM4604263_260_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604263/suppl//GSM4604263_260_ATAC-seq.10bp.RPGC.bigwig	GSE152134	260	AML	ATAC-seq	NA	260_ATAC-seq
GSM4604264	GSM4604264_546_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604264/suppl//GSM4604264_546_ATAC-seq.10bp.RPGC.bigwig	GSE152134	546	AML	ATAC-seq	NA	546_ATAC-seq
GSM4604265	GSM4604265_1916_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604265/suppl//GSM4604265_1916_ATAC-seq.10bp.RPGC.bigwig	GSE152134	1916	AML	ATAC-seq	NA	1916_ATAC-seq
GSM4604266	GSM4604266_472_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604266/suppl//GSM4604266_472_ATAC-seq.10bp.RPGC.bigwig	GSE152134	472	AML	ATAC-seq	NA	472_ATAC-seq
GSM4604267	GSM4604267_1360_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604267/suppl//GSM4604267_1360_ATAC-seq.10bp.RPGC.bigwig	GSE152134	1360	AML	ATAC-seq	NA	1360_ATAC-seq
GSM4604268	GSM4604268_168_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604268/suppl//GSM4604268_168_ATAC-seq.10bp.RPGC.bigwig	GSE152134	168	AML	ATAC-seq	NA	168_ATAC-seq
GSM4604269	GSM4604269_027_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604269/suppl//GSM4604269_027_ATAC-seq.10bp.RPGC.bigwig	GSE152134	027	AML	ATAC-seq	NA	027_ATAC-seq
GSM4604270	GSM4604270_990_ATAC-seq.10bp.RPGC.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604270/suppl//GSM4604270_990_ATAC-seq.10bp.RPGC.bigwig	GSE152134	990	AML	ATAC-seq	NA	990_ATAC-seq
